notice_no,notice_id,route_id,route_name,notice_group,notice_name,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_targets,failure_condition,follow_up,public_notice_text
66,notice_066_solver_전장_잔향_조사,solver,해결사,전쟁·전장 조사,전장 잔향 조사,중급~상급,"전장 잔향 조사 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '전장 잔향 조사' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[전장 잔향 조사] 전장 잔향 조사 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
67,notice_067_solver_전쟁_유물_회수,solver,해결사,전쟁·전장 조사,전쟁 유물 회수,중급~상급,"전쟁 유물 회수 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '전쟁 유물 회수' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[전쟁 유물 회수] 전쟁 유물 회수 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
68,notice_068_solver_군사_던전_발생_대응,solver,해결사,전쟁·전장 조사,군사 던전 발생 대응,중급~상급,"군사 던전 발생 대응 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '군사 던전 발생 대응' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[군사 던전 발생 대응] 군사 던전 발생 대응 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
69,notice_069_solver_전시_오염_병기_추적,solver,해결사,전쟁·전장 조사,전시 오염 병기 추적,중급~상급,"전시 오염 병기 추적 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '전시 오염 병기 추적' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[전시 오염 병기 추적] 전시 오염 병기 추적 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
70,notice_070_solver_실종_부대_기록_회수,solver,해결사,전쟁·전장 조사,실종 부대 기록 회수,중급~상급,"실종 부대 기록 회수 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '실종 부대 기록 회수' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[실종 부대 기록 회수] 실종 부대 기록 회수 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
71,notice_071_solver_전쟁_피난민_구조,solver,해결사,전시 민생·구호,전쟁 피난민 구조,하급~중급,전쟁 피난민 구조 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '전쟁 피난민 구조' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[전쟁 피난민 구조] 전쟁 피난민 구조 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
72,notice_072_solver_민간_대피로_확보,solver,해결사,전시 민생·구호,민간 대피로 확보,하급~중급,민간 대피로 확보 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '민간 대피로 확보' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[민간 대피로 확보] 민간 대피로 확보 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
73,notice_073_solver_전시_구호_거점_방어,solver,해결사,전시 민생·구호,전시 구호 거점 방어,하급~중급,전시 구호 거점 방어 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '전시 구호 거점 방어' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[전시 구호 거점 방어] 전시 구호 거점 방어 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
74,notice_074_solver_전시_민간_구역_정화,solver,해결사,전시 민생·구호,전시 민간 구역 정화,하급~중급,전시 민간 구역 정화 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '전시 민간 구역 정화' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[전시 민간 구역 정화] 전시 민간 구역 정화 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
75,notice_075_solver_실종_민간인_수색,solver,해결사,전시 민생·구호,실종 민간인 수색,하급~중급,실종 민간인 수색 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '실종 민간인 수색' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[실종 민간인 수색] 실종 민간인 수색 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
